band,point,freq_Hz,amplitude_dBuV
"{'label': '10 kHz - 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",0,10000.0,14.0562
"{'label': '10 kHz - 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",1,10233.333333333334,12.5801
"{'label': '10 kHz - 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",2,10466.666666666666,11.7389
"{'label': '10 kHz - 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",3,10700.0,13.22855
"{'label': '10 kHz - 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",4,10933.333333333334,10.29226
"{'label': '10 kHz - 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",5,11166.666666666666,12.96606
"{'label': '10 kHz - 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",6,11400.0,12.14685
"{'label': '10 kHz - 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",7,11633.333333333334,11.68095
"{'label': '10 kHz - 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",8,11866.666666666666,10.02808
"{'label': '10 kHz - 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",9,12100.0,12.2452
"{'label': '10 kHz - 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",10,12333.333333333334,11.15923
"{'label': '10 kHz - 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",11,12566.666666666668,11.69104
"{'label': '10 kHz - 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",12,12800.0,10.85771
"{'label': '10 kHz - 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",13,13033.333333333334,10.54872
"{'label': '10 kHz - 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",14,13266.666666666668,10.39487
"{'label': '10 kHz - 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",15,13500.0,11.41085
"{'label': '10 kHz - 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",16,13733.333333333334,11.88444
"{'label': '10 kHz - 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",17,13966.666666666668,10.80093
"{'label': '10 kHz - 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",18,14200.0,9.628392
"{'label': '10 kHz - 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",19,14433.333333333334,9.378767
"{'label': '10 kHz - 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",20,14666.666666666668,9.8569
"{'label': '10 kHz - 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",21,14900.0,11.68569
"{'label': '10 kHz - 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",22,15133.333333333334,11.46784
"{'label': '10 kHz - 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",23,15366.666666666668,9.790373
"{'label': '10 kHz - 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",24,15600.0,9.227036
"{'label': '10 kHz - 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",25,15833.333333333334,9.568883
"{'label': '10 kHz - 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",26,16066.666666666668,9.898853
"{'label': '10 kHz - 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",27,16300.0,9.260922
"{'label': '10 kHz - 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",28,16533.333333333336,8.575887
"{'label': '10 kHz - 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",29,16766.666666666668,7.974223
