band,point,freq_Hz,amplitude_dBuV
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",0,10000.0,11.35549
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",1,10233.333333333334,13.74502
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",2,10466.666666666666,13.20841
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",3,10700.0,14.4838
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",4,10933.333333333334,14.76035
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",5,11166.666666666666,10.55151
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",6,11400.0,12.84173
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",7,11633.333333333334,11.67
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",8,11866.666666666666,12.02444
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",9,12100.0,12.93225
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",10,12333.333333333334,12.96364
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",11,12566.666666666668,12.19137
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",12,12800.0,12.55043
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",13,13033.333333333334,9.969071
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",14,13266.666666666668,9.538299
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",15,13500.0,10.497
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",16,13733.333333333334,11.02985
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",17,13966.666666666668,10.66417
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",18,14200.0,11.18467
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",19,14433.333333333334,10.72902
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",20,14666.666666666668,11.06166
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",21,14900.0,8.98138
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",22,15133.333333333334,8.283787
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",23,15366.666666666668,8.56596
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",24,15600.0,10.04753
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",25,15833.333333333334,8.532629
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",26,16066.666666666668,9.951315
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",27,16300.0,9.667026
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",28,16533.333333333336,10.27258
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",29,16766.666666666668,8.993607
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",30,17000.0,7.903986
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",31,17233.333333333336,9.870511
